Disease ID,Disease Name,Num Genes (total),Num Genes (in PPI),Num Components,Num Internal Edges,Size of largest pathway component,Density of pathway,Conductance,Network Modularity,Distance of Pathway Components,Spatial Network Association (p-value)
C0282612,Prostatic Intraepithelial Neoplasias,11,11,5,16,0.5454545454545454,0.2909090909090909,0.9846079846079846,7.503205695867914e-05,2.083333333333333,
C0751617,Semilobar Holoprosencephaly,14,14,10,7,0.21428571428571427,0.07692307692307693,0.9583333333333334,4.041184845495148e-05,3.2462962962962965,
C0035258,Restless Legs Syndrome,14,6,6,3,0.16666666666666666,0.2,0.9710144927536232,1.734297598129517e-05,2.8666666666666667,
C1142166,Brugada Syndrome (disorder),15,15,14,7,0.13333333333333333,0.06666666666666667,0.9527027027027027,4.051969315292503e-05,3.0604395604395602,
C0013990,Pathological accumulation of air in tissues,11,10,9,6,0.2,0.13333333333333333,0.9922978177150192,2.4696384623937167e-05,2.5,
C0018671,Head and Neck Neoplasms,23,23,13,28,0.43478260869565216,0.11067193675889328,0.9801065719360569,0.00012976904290779403,2.9903846153846154,
C0006118,Brain Neoplasms,23,23,15,29,0.34782608695652173,0.11462450592885376,0.9764514819326026,0.0001435365960112529,2.808333333333333,
C0018772,"Hearing Loss, Partial",27,22,22,7,0.045454545454545456,0.030303030303030304,0.9701492537313433,3.995510824217792e-05,3.2554112554112553,
C0008625,Chromosome Aberrations,15,15,13,11,0.13333333333333333,0.10476190476190476,0.9762931034482759,6.058733897707222e-05,2.6538461538461537,
C0023434,Chronic Lymphocytic Leukemia,62,49,30,43,0.32653061224489793,0.036564625850340135,0.9802071346375144,0.00017066462261204352,3.1289511494252875,
C0034951,Refractive Errors,19,18,18,6,0.05555555555555555,0.0392156862745098,0.9722863741339491,3.425171067923799e-05,3.104575163398693,
C0019196,Hepatitis C,15,15,15,9,0.06666666666666667,0.08571428571428572,0.9709208400646203,5.094274242531635e-05,3.0095238095238095,
C0025500,Mesothelioma,41,41,21,45,0.4878048780487805,0.054878048780487805,0.9801587301587301,0.00017511216269577328,2.859642857142857,
C0242379,Malignant neoplasm of lung,16,16,12,12,0.1875,0.1,0.9781221513217867,6.496932757224199e-05,2.9797979797979797,
C3875321,Inflammatory dermatosis,40,34,33,12,0.058823529411764705,0.0213903743315508,0.985594237695078,5.8262534920067116e-05,2.834280303030303,
C0162809,Kallmann Syndrome,20,20,17,9,0.2,0.04736842105263158,0.9428571428571428,5.2154015848487035e-05,3.5091911764705883,
C0023794,Lipoidosis,19,19,16,8,0.15789473684210525,0.04678362573099415,0.974960876369327,4.499348625361099e-05,2.963888888888889,
C0011849,Diabetes Mellitus,29,28,21,24,0.14285714285714285,0.06349206349206349,0.9815950920245399,0.0001111902042296243,2.7450396825396823,
C0016059,Fibrosis,41,40,21,53,0.25,0.06794871794871794,0.9633217993079585,0.0002739918093414474,3.1478174603174605,
C0020443,Hypercholesterolemia,22,21,18,15,0.19047619047619047,0.07142857142857142,0.9737072743207712,8.207501535606423e-05,2.823529411764706,
C0025958,Microcephaly,25,23,17,16,0.17391304347826086,0.06324110671936758,0.9835221421215242,7.738210298866149e-05,2.3958333333333335,
C0040411,Tongue Neoplasms,10,9,8,8,0.2222222222222222,0.2222222222222222,0.9838056680161943,4.257114844154246e-05,2.607142857142857,
C0027720,Nephrosis,15,15,7,19,0.26666666666666666,0.18095238095238095,0.97264218862491,0.00010276604448765387,2.8273809523809526,
C0007273,Carotid Artery Diseases,11,11,10,10,0.18181818181818182,0.18181818181818182,0.9857651245551602,4.999802628454155e-05,2.566666666666667,
C0018273,Growth Disorders,33,32,29,15,0.125,0.03024193548387097,0.9791955617198336,7.875826617710009e-05,2.9082512315270934,
C0014553,Absence Epilepsy,10,9,9,2,0.1111111111111111,0.05555555555555555,0.9836065573770492,1.1429865700688417e-05,2.9722222222222223,
C0014556,"Epilepsy, Temporal Lobe",23,23,21,13,0.08695652173913043,0.05138339920948617,0.9516728624535316,7.471023353451163e-05,2.8702380952380953,
C0025261,Memory Disorders,37,36,24,33,0.3611111111111111,0.05238095238095238,0.984561403508772,0.0001148194982640928,3.1307134894091417,
C0007370,Catalepsy,15,15,14,5,0.13333333333333333,0.047619047619047616,0.9839743589743589,2.7548535602281704e-05,2.8131868131868134,
C1333990,Hereditary Nonpolyposis Colorectal Cancer,13,13,5,20,0.46153846153846156,0.2564102564102564,0.9657827202737382,0.00011100870689292056,2.5333333333333337,
C0023487,Acute Promyelocytic Leukemia,31,29,13,38,0.5517241379310345,0.09359605911330049,0.9725631768953069,0.0001892604314724305,2.9547275641025643,
C0023485,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,11,11,9,8,0.2727272727272727,0.14545454545454545,0.9843597262952102,4.227088542499567e-05,2.3703703703703707,
C0018099,Gout,10,10,10,5,0.1,0.1111111111111111,0.959349593495935,2.895145519673912e-05,3.2,
C1956346,Coronary Artery Disease,67,63,49,46,0.15873015873015872,0.023553507424475168,0.9736011477761837,0.00021691684163477229,3.0436649659863946,
C1861172,Venous Thromboembolism,36,31,22,21,0.3225806451612903,0.04516129032258064,0.954983922829582,0.0001189668777154298,3.1878787878787884,
C0032927,Precancerous Conditions,91,69,41,70,0.37681159420289856,0.029838022165387893,0.9707968293700459,0.0003108913675802208,2.960060975609756,
C0010346,Crohn Disease,105,87,61,59,0.16091954022988506,0.015771184175354183,0.9741114523913997,0.00025604559841144295,3.259141295862607,
C0007873,Uterine Cervical Neoplasm,22,21,10,22,0.5714285714285714,0.10476190476190476,0.9846315054139015,9.355482748559315e-05,2.992592592592593,
C0013386,"Dyskinesia, Drug-Induced",15,15,14,7,0.13333333333333333,0.06666666666666667,0.9654320987654321,4.0193731700395124e-05,2.8351648351648353,
C0022336,Creutzfeldt-Jakob disease,14,13,13,4,0.07692307692307693,0.05128205128205128,0.9791666666666666,2.2738645012599252e-05,3.3974358974358974,
C0087012,"Ataxia, Spinocerebellar",16,15,10,8,0.4,0.0761904761904762,0.9886039886039886,3.832616271307457e-05,2.4703703703703703,
C0917796,"Optic Atrophy, Hereditary, Leber",16,14,6,18,0.6428571428571429,0.1978021978021978,0.9300970873786408,0.00010402316897161666,3.1703703703703705,
C0023891,"Liver Cirrhosis, Alcoholic",16,16,10,17,0.25,0.14166666666666666,0.9781350482315112,8.899738222180475e-05,3.022222222222222,
C0242488,Acute Lung Injury,16,16,15,13,0.125,0.10833333333333334,0.9788617886178862,6.949095969362666e-05,2.519047619047619,
C0023893,"Liver Cirrhosis, Experimental",109,107,55,114,0.34579439252336447,0.020102274731087992,0.9571670110839752,0.0005451047752885583,3.2841750555587033,
C0263454,Chloracne,33,33,21,27,0.3333333333333333,0.05113636363636364,0.9806797853309481,0.00012440576567994253,2.9079004329004325,
C0023895,Liver diseases,67,65,48,48,0.1076923076923077,0.023076923076923078,0.971764705882353,0.00023109726331852273,3.129865332657886,
C0022661,"Kidney Failure, Chronic",45,44,24,48,0.4318181818181818,0.0507399577167019,0.9647706422018348,0.0002487345427023876,3.0137935418255783,
C1262477,Weight decreased,18,18,18,8,0.05555555555555555,0.05228758169934641,0.9748427672955975,4.500980373655489e-05,2.8300653594771243,
C0023264,Leigh Disease,35,31,15,69,0.5483870967741935,0.14838709677419354,0.9082446808510638,0.00039344293449313216,2.9708683473389357,
C0007570,Celiac Disease,55,38,33,15,0.07894736842105263,0.021337126600284494,0.9709583736689255,8.307664005170599e-05,3.106691919191919,
C0017601,Glaucoma,22,21,20,8,0.09523809523809523,0.0380952380952381,0.9721739130434782,4.532493805932873e-05,3.123684210526316,
C0039231,Tachycardia,17,17,16,9,0.11764705882352941,0.0661764705882353,0.9643564356435643,5.148937170576698e-05,2.8125,
C0346153,"Breast Cancer, Familial",14,12,4,31,0.75,0.4696969696969697,0.9785911602209945,0.0001453213958992852,2.1296296296296293,
C0022116,Ischemia,27,27,16,29,0.4444444444444444,0.08262108262108261,0.9795558688755728,0.00013508051372695216,2.96875,
C0032580,Adenomatous Polyposis Coli,10,9,8,5,0.2222222222222222,0.1388888888888889,0.9915611814345991,2.3219181021411154e-05,2.6964285714285716,
C0040128,Thyroid Diseases,12,12,12,7,0.08333333333333333,0.10606060606060606,0.9624664879356568,4.029993825079404e-05,2.7818181818181817,
C0030319,Panic Disorder,13,8,8,4,0.125,0.14285714285714285,0.9617224880382775,2.318135005701426e-05,2.857142857142857,
C0009404,Colorectal Neoplasms,232,213,87,331,0.5774647887323944,0.014660288776685269,0.9490965013456363,0.0012121664993292364,3.3933606871487054,
C0001624,Adrenal Gland Neoplasms,11,11,3,19,0.6363636363636364,0.34545454545454546,0.9862617498192335,7.835835346508543e-05,2.4761904761904763,
C0038644,Sudden infant death syndrome,13,12,10,7,0.25,0.10606060606060606,0.9477611940298507,4.0587061961023886e-05,3.4592592592592593,
C0027819,Neuroblastoma,49,44,20,56,0.2727272727272727,0.05919661733615222,0.9799892799714133,0.00019350897931813066,2.861951754385965,
C2931456,"Prostate cancer, familial",13,13,10,11,0.3076923076923077,0.14102564102564102,0.9817123857024106,5.808735127619229e-05,2.861111111111111,
C0024667,Animal Mammary Neoplasms,138,137,28,363,0.7883211678832117,0.03896522112494633,0.9570972698262616,0.0008990292019254826,3.177722254882749,
C0029422,Osteochondrodysplasias,15,15,12,11,0.2,0.10476190476190476,0.973621103117506,6.129390945257065e-05,3.103535353535354,
C0041755,Adverse reaction to drug,54,53,37,42,0.1320754716981132,0.030478955007256895,0.9651741293532339,0.00022054223653734885,3.049817674817675,
C0015625,Fanconi Anemia,19,19,3,55,0.8947368421052632,0.3216374269005848,0.9053356282271945,0.0003155456341756262,2.607843137254902,
C0751778,"Myoclonic Epilepsies, Progressive",12,12,11,7,0.16666666666666666,0.10606060606060606,0.9731285988483686,3.973549411855015e-05,2.809090909090909,
C0206762,"Limb Deformities, Congenital",16,15,14,6,0.13333333333333333,0.05714285714285714,0.9800995024875622,3.350038124136755e-05,2.901098901098901,
C0429087,Electrocardiogram: P-R interval,10,9,9,3,0.1111111111111111,0.08333333333333333,0.9830028328611898,1.6994187116613962e-05,2.9166666666666665,
C0024668,"Mammary Neoplasms, Experimental",152,151,30,411,0.7880794701986755,0.03629139072847682,0.9539495798319327,0.001041784184103665,3.0959093982420556,
C0018824,Heart valve disease,24,24,20,16,0.125,0.057971014492753624,0.9761904761904762,8.576492937317582e-05,2.680701754385965,
C0079744,Diffuse Large B-Cell Lymphoma,38,36,17,49,0.3055555555555556,0.07777777777777778,0.9707898658718331,0.00023823594668325091,2.500919117647059,
C0019158,Hepatitis,20,18,15,18,0.1111111111111111,0.11764705882352941,0.968421052631579,9.961051630627348e-05,2.7857142857142856,
C0271650,Impaired glucose tolerance,13,11,8,11,0.36363636363636365,0.2,0.9760869565217392,6.065040764837054e-05,2.6339285714285716,
C0162666,Mitochondrial Encephalomyopathies,15,11,8,6,0.2727272727272727,0.10909090909090909,0.9776951672862454,3.3816769770444546e-05,2.6666666666666665,
C0019151,Hepatic Encephalopathy,13,13,10,11,0.15384615384615385,0.14102564102564102,0.9733656174334141,6.135056204699704e-05,2.55,
C0026769,Multiple Sclerosis,109,88,67,57,0.19318181818181818,0.014890282131661442,0.9703588143525741,0.00026988804556226287,3.18133264160481,
C0600467,Neurogenic Inflammation,12,12,9,8,0.25,0.12121212121212122,0.9938603223330775,1.7763915849781392e-05,3.356481481481482,
C0024141,"Lupus Erythematosus, Systemic",88,74,62,41,0.06756756756756757,0.015179563124768604,0.9663658736669402,0.0002141623694556261,3.0461924907456375,
C2931673,"Ceroid lipofuscinosis, neuronal 1, infantile",10,10,8,7,0.3,0.15555555555555556,0.985200845665962,3.707574439480869e-05,2.5476190476190474,
C0152013,Adenocarcinoma of lung (disorder),48,46,20,59,0.4782608695652174,0.057004830917874394,0.9778070340417528,0.00022407133056145218,2.6914673046251996,
C0175702,Williams Syndrome,10,10,10,3,0.1,0.06666666666666667,0.9914285714285714,1.5435425961343984e-05,2.533333333333333,
C0268362,Osteogenesis imperfecta type III (disorder),11,11,7,7,0.2727272727272727,0.12727272727272726,0.9766277128547579,3.9362815605606144e-05,2.544973544973545,
C0268363,Osteogenesis imperfecta type IV (disorder),10,10,8,5,0.3,0.1111111111111111,0.9665551839464883,2.8828231537844194e-05,2.761904761904762,
C0241910,"Hepatitis, Autoimmune",17,17,15,14,0.17647058823529413,0.10294117647058823,0.9253333333333333,8.118702006604055e-05,3.098412698412698,
C0033578,Prostatic Neoplasms,485,468,101,1502,0.782051282051282,0.01374476106810154,0.9090496230585243,0.004120716824859046,3.4238960125520745,
C2936907,NADH:Q(1) Oxidoreductase deficiency,20,20,4,95,0.85,0.5,0.8482428115015974,0.0005482957369373688,2.8333333333333335,
C0848558,Hypospadias,19,14,14,3,0.07142857142857142,0.03296703296703297,0.9831932773109243,1.6982071652170343e-05,2.9450549450549453,
C0026764,Multiple Myeloma,39,39,28,34,0.2564102564102564,0.04588394062078273,0.9719818706221672,0.00017349720114289595,2.9666666666666663,
C0015695,Fatty Liver,63,48,31,43,0.10416666666666667,0.038120567375886524,0.9743666169895678,0.00020318440631401883,2.766525089605735,
C0023290,"Leishmaniasis, Visceral",14,12,10,13,0.16666666666666666,0.19696969696969696,0.93048128342246,7.534829191169163e-05,2.738888888888889,
C0393706,Early infantile epileptic encephalopathy with suppression bursts,18,18,17,8,0.1111111111111111,0.05228758169934641,0.9823204419889503,4.324141944976675e-05,2.8529411764705883,
C0022521,Kartagener Syndrome,28,24,23,1,0.08333333333333333,0.0036231884057971015,0.9922480620155039,5.557960797261955e-06,3.4209486166007905,
C0005586,Bipolar Disorder,72,63,50,34,0.07936507936507936,0.017409114183307733,0.984033810753698,0.00012124391953987948,3.151374149659864,
C0242350,Erectile dysfunction,10,10,8,9,0.2,0.2,0.9642147117296223,5.1497971979035003e-05,2.6607142857142856,
C0265215,Meckel-Gruber syndrome,15,14,5,16,0.5,0.17582417582417584,0.9760479041916168,8.585639259784552e-05,2.2464285714285714,
C0005612,Birth Weight,10,10,10,3,0.1,0.06666666666666667,0.9607843137254902,1.7425907188799532e-05,3.1777777777777776,
C0004352,Autistic Disorder,254,233,115,245,0.296137339055794,0.009064673671747818,0.9570853039061131,0.0008751085995009143,3.1084730731531303,
C0023904,"Liver Neoplasms, Experimental",95,53,31,55,0.39622641509433965,0.03991291727140784,0.9766454352441614,0.00022666822491413296,3.0824031404676564,
C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,18,18,8,22,0.6111111111111112,0.1437908496732026,0.9793233082706767,0.00010920418951315022,2.529220779220779,
C0027404,Narcolepsy,25,18,16,4,0.1111111111111111,0.026143790849673203,0.9607843137254902,2.3190159364777166e-05,3.4458333333333333,
C0015967,Fever,21,20,18,15,0.15,0.07894736842105263,0.9609375,8.511265665522893e-05,3.0501089324618738,
C0001418,Adenocarcinoma,108,106,33,247,0.6886792452830188,0.044384546271338726,0.9598732840549102,0.000796395736453752,3.135805832295558,
C0887833,"Carcinoma, Pancreatic Ductal",20,20,14,19,0.25,0.1,0.9741144414168937,0.0001018031935443963,2.539194139194139,
C0740392,"Infarction, Middle Cerebral Artery",25,25,18,27,0.28,0.09,0.9708108108108108,0.00014313151716292672,2.633986928104575,
C0020538,Hypertensive disease,195,189,55,317,0.6931216931216931,0.017843071034560395,0.9512682551883167,0.0011298246707301136,3.2712697574428815,
C0349639,Juvenile Myelomonocytic Leukemia,19,19,16,13,0.15789473684210525,0.07602339181286549,0.9824086603518268,6.662597656131624e-05,2.4277777777777776,
C0023343,Leprosy,26,18,15,11,0.16666666666666666,0.0718954248366013,0.9741784037558685,6.11644446230253e-05,3.1492063492063496,
C0027051,Myocardial Infarction,88,86,36,116,0.5116279069767442,0.03173734610123119,0.9634127109288756,0.0005061342405054748,3.0539231601731602,
C0042109,Urticaria,16,16,16,10,0.0625,0.08333333333333333,0.9840255591054313,5.173224837439494e-05,2.7333333333333334,
C0003811,Cardiac Arrhythmia,20,20,18,12,0.15,0.06315789473684211,0.9593220338983051,6.861808313811899e-05,2.886710239651416,
C0018995,Hemochromatosis,12,12,8,7,0.25,0.10606060606060606,0.9465648854961832,4.0600627868371184e-05,3.2113095238095233,
C0030297,Pancreatic Neoplasm,80,80,29,150,0.6125,0.04746835443037975,0.959709911361805,0.0006397685517145119,3.2474741127978284,
C0020507,Hyperplasia,26,26,18,23,0.23076923076923078,0.07076923076923076,0.9820872274143302,0.00010623151525926381,2.8026506899055916,
C0030354,Papilloma,11,11,9,12,0.18181818181818182,0.21818181818181817,0.9879578524836929,5.315828546949557e-05,2.4583333333333335,
C0030193,Pain,48,45,41,24,0.044444444444444446,0.024242424242424242,0.9739837398373984,0.00012568456148760965,3.146951219512195,
C0000768,Congenital Abnormality,11,11,10,5,0.18181818181818182,0.09090909090909091,0.984984984984985,2.7317403255386355e-05,2.7444444444444445,
C1834752,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO (finding)",12,10,8,9,0.2,0.2,0.926530612244898,5.232124338643762e-05,3.0714285714285716,
C0022658,Kidney Diseases,90,83,53,68,0.1686746987951807,0.01998236849838378,0.9649213309259737,0.0003331278649842549,3.2103799502384405,
C0206062,"Lung Diseases, Interstitial",16,15,15,7,0.06666666666666667,0.06666666666666667,0.9836829836829837,3.775298179513524e-05,2.8380952380952382,
C0007117,Basal cell carcinoma,29,22,19,8,0.13636363636363635,0.03463203463203463,0.9908727895037079,3.362590427881798e-05,2.961988304093567,
C2239176,Liver carcinoma,222,217,41,687,0.815668202764977,0.029313876088069638,0.9354959861039388,0.002077774185714783,3.1585228055670385,
C0206726,gliosarcoma,16,15,12,13,0.26666666666666666,0.12380952380952381,0.9908771929824561,4.129434912593357e-05,2.5606060606060606,
C0948089,Acute Coronary Syndrome,31,31,10,57,0.6451612903225806,0.12258064516129032,0.9734327662549522,0.0002544409776634513,2.5407407407407407,
C0029927,Ovarian Cysts,35,31,31,8,0.03225806451612903,0.017204301075268817,0.9900062460961899,3.5800749600955326e-05,3.0301075268817206,
C0036346,"Schizophrenia, Childhood",16,15,15,3,0.06666666666666667,0.02857142857142857,0.9908814589665653,1.567874202889666e-05,3.057142857142857,
C0206686,Adrenocortical carcinoma,17,17,6,30,0.7058823529411765,0.22058823529411764,0.9837354296557332,0.00011720278076721479,2.5777777777777775,
C0036341,Schizophrenia,280,238,125,252,0.3949579831932773,0.008935219657483246,0.9668943772990016,0.000483431127078828,3.247988136459687,
C0333641,Atrophic,10,10,9,7,0.2,0.15555555555555556,0.9866412213740458,3.620808943382087e-05,2.486111111111111,
C1800706,Idiopathic Pulmonary Fibrosis,17,16,12,11,0.125,0.09166666666666666,0.9623287671232876,6.280620950797813e-05,3.0454545454545454,
C0431362,Lobar Holoprosencephaly,14,14,10,7,0.21428571428571427,0.07692307692307693,0.9583333333333334,4.041184845495148e-05,3.2462962962962965,
C0431363,Alobar Holoprosencephaly,14,14,10,7,0.21428571428571427,0.07692307692307693,0.9583333333333334,4.041184845495148e-05,3.2462962962962965,
C0021051,Immunologic Deficiency Syndromes,17,17,11,12,0.35294117647058826,0.08823529411764706,0.9418886198547215,6.937543191425061e-05,2.92962962962963,
C0004134,Ataxia,15,15,12,6,0.13333333333333333,0.05714285714285714,0.9603960396039604,3.4659882383896224e-05,3.246212121212121,
C0279628,Adenocarcinoma Of Esophagus,14,14,8,12,0.5,0.13186813186813187,0.9875195007800313,5.432768375213144e-05,2.5357142857142856,
C0035334,Retinitis Pigmentosa,79,69,46,57,0.08695652173913043,0.024296675191815855,0.9656108597285068,0.0002861095049417128,3.2230563607085347,
C0279626,Squamous cell carcinoma of esophagus,85,82,28,141,0.6707317073170732,0.04245709123757904,0.9708195364238411,0.00042529629939282946,2.9932178932178934,
C0004364,Autoimmune Diseases,33,33,26,28,0.15151515151515152,0.05303030303030303,0.9765984120351023,0.00013914477426622485,2.8216923076923077,
C0011991,Diarrhea,10,10,9,3,0.2,0.06666666666666667,0.9689119170984456,1.7366865629557962e-05,3.5,
C0151744,Myocardial Ischemia,171,168,63,264,0.6071428571428571,0.018819503849443968,0.960219995479545,0.0007907142491109869,3.005888376856119,
C0085580,Essential Hypertension,21,13,9,7,0.38461538461538464,0.08974358974358974,0.9752212389380531,3.953164716263593e-05,2.8333333333333335,
C0019209,Hepatomegaly,10,9,9,6,0.1111111111111111,0.16666666666666666,0.9727272727272728,3.422564110054387e-05,2.861111111111111,
C0026848,Myopathy,29,25,21,17,0.08,0.056666666666666664,0.9719934102141681,9.302547127407911e-05,2.9833333333333334,
C0019202,Hepatolenticular Degeneration,24,24,18,20,0.16666666666666666,0.07246376811594203,0.9736147757255936,0.00010703408799270289,2.7834967320261437,
C0015393,Eye Abnormalities,16,14,10,11,0.2857142857142857,0.12087912087912088,0.972636815920398,6.150354111601839e-05,3.0166666666666666,
C0026846,Muscular Atrophy,13,13,11,10,0.23076923076923078,0.1282051282051282,0.98805256869773,4.646470038007339e-05,2.5272727272727273,
C0004782,Basal Ganglia Diseases,12,12,11,4,0.16666666666666666,0.06060606060606061,0.972027972027972,2.301875113848329e-05,3.081818181818182,
C0019163,Hepatitis B,16,16,12,11,0.1875,0.09166666666666666,0.9523809523809523,6.335060339978911e-05,3.305555555555556,
C0024115,Lung diseases,49,45,34,32,0.08888888888888889,0.03232323232323232,0.9733666250520183,0.00016230787007229908,2.9462269756387407,
C0024117,Chronic Obstructive Airway Disease,51,46,36,26,0.10869565217391304,0.025120772946859903,0.9827757535607817,0.00011300806568435272,3.0758095238095238,
C0031117,Peripheral Neuropathy,293,279,143,331,0.44802867383512546,0.008535107397952605,0.952609349273391,0.0011012377502359453,3.24167173671399,
C0043094,Weight Gain,89,88,44,85,0.48863636363636365,0.022204806687565307,0.9778154769672452,0.000246056769092247,3.09243325630562,
C0011053,Deafness,18,15,14,5,0.13333333333333333,0.047619047619047616,0.9835255354200988,2.763781036459052e-05,3.17032967032967,
C0403553,Renal dysplasia and retinal aplasia (disorder),10,10,5,12,0.5,0.26666666666666666,0.9623233908948194,6.837206668710224e-05,2.76,
C1263846,Attention deficit hyperactivity disorder,43,35,32,8,0.05714285714285714,0.013445378151260505,0.9699812382739212,4.5523461036347036e-05,3.363407258064516,
C0039685,Tetralogy of Fallot,17,15,10,8,0.3333333333333333,0.0761904761904762,0.9593908629441624,4.607314904485634e-05,3.0733333333333337,
C0524851,Neurodegenerative Disorders,37,37,17,53,0.4864864864864865,0.07957957957957958,0.9769163763066202,0.00021966690276092331,2.993668300653595,
C0004763,Barrett Esophagus,16,14,12,10,0.14285714285714285,0.10989010989010989,0.9792315680166147,5.446306980163772e-05,2.787878787878788,
C0376634,Craniofacial Abnormalities,149,145,58,191,0.5724137931034483,0.018295019157088123,0.9608967140956085,0.0007086878278590486,3.054829724220536,
C0520459,Necrotizing Enterocolitis,17,17,9,19,0.29411764705882354,0.13970588235294118,0.9745989304812834,0.00010144914895703289,2.723611111111111,
C0020473,Hyperlipidemia,17,17,9,20,0.4117647058823529,0.14705882352941177,0.9660152931180969,0.0001109286424431722,2.6021825396825395,
